        mark         | zone | number | state | level | source  |    info    
 2004-07-23 03:31:33 | V    |     20 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:33 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:33 | V    |     11 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:33 | V    |     20 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:34 | V    |     17 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:35 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:36 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:36 | S    |     67 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:31:36 | S    |     68 |     1 |    23 | ArgusMS | inhabitant
 2004-07-23 03:31:36 | S    |     73 |     1 |    20 | ArgusMS | inhabitant
 2004-07-23 03:31:36 | S    |     77 |     1 |    33 | ArgusMS | inhabitant
 2004-07-23 03:31:36 | S    |     81 |     1 |    35 | ArgusMS | inhabitant
 2004-07-23 03:31:36 | S    |     85 |     1 |    83 | ArgusMS | inhabitant
 2004-07-23 03:31:37 | S    |     67 |     1 |    16 | ArgusMS | inhabitant
 2004-07-23 03:31:37 | S    |     68 |     1 |    32 | ArgusMS | inhabitant
 2004-07-23 03:31:37 | S    |     73 |     1 |    32 | ArgusMS | inhabitant
 2004-07-23 03:31:40 | c    |      2 |     1 |   100 | X10     | inhabitant
 2004-07-23 03:31:38 | S    |     77 |     1 |    61 | ArgusMS | inhabitant
 2004-07-23 03:31:40 | c    |      3 |     1 |   100 | X10     | inhabitant
 2004-07-23 03:31:38 | S    |     81 |     1 |    44 | ArgusMS | inhabitant
 2004-07-23 03:31:38 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:38 | V    |      7 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:38 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:39 | V    |      7 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:39 | S    |     85 |     1 |    86 | ArgusMS | inhabitant
 2004-07-23 03:31:39 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:40 | S    |     85 |     1 |    82 | ArgusMS | inhabitant
 2004-07-23 03:31:40 | V    |      7 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:40 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:41 | V    |     12 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:41 | V    |     14 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:41 | S    |     85 |     1 |    81 | ArgusMS | inhabitant
 2004-07-23 03:31:42 | V    |      7 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:42 | S    |     85 |     1 |    85 | ArgusMS | inhabitant
 2004-07-23 03:31:43 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:43 | S    |     85 |     1 |    81 | ArgusMS | inhabitant
 2004-07-23 03:31:44 | S    |     85 |     1 |    85 | ArgusMS | inhabitant
 2004-07-23 03:31:45 | V    |     12 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:46 | S    |     85 |     1 |    82 | ArgusMS | inhabitant
 2004-07-23 03:31:47 | V    |     16 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:47 | V    |     16 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:48 | V    |     14 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:48 | S    |     81 |     1 |    24 | ArgusMS | inhabitant
 2004-07-23 03:31:48 | S    |     85 |     1 |    28 | ArgusMS | inhabitant
 2004-07-23 03:31:48 | V    |     15 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:49 | V    |     15 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:49 | S    |     85 |     1 |     7 | ArgusMS | inhabitant
 2004-07-23 03:31:49 | V    |     16 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:50 | V    |     14 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:50 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:50 | V    |     16 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:51 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:51 | V    |     14 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:53 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:55 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:57 | V    |     14 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:57 | V    |     13 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:57 | V    |      9 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:31:59 | V    |     13 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:31:59 | V    |     14 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:00 | V    |      9 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:00 | V    |     10 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:32:01 | V    |     10 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:01 | V    |      9 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:32:04 | V    |      7 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:32:04 | V    |      9 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:04 | V    |      2 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:32:05 | V    |      2 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:05 | S    |     67 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:32:05 | S    |     68 |     1 |    22 | ArgusMS | inhabitant
 2004-07-23 03:32:05 | S    |     67 |     1 |    14 | ArgusMS | inhabitant
 2004-07-23 03:32:06 | S    |     68 |     1 |    30 | ArgusMS | inhabitant
 2004-07-23 03:32:06 | V    |      2 |     1 |   100 | ArgusD  | inhabitant
 2004-07-23 03:32:06 | V    |      7 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:32:07 | S    |     67 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:32:07 | S    |     68 |     1 |    24 | ArgusMS | inhabitant
 2004-07-23 03:32:08 | V    |      2 |     0 |     0 | ArgusD  | inhabitant
 2004-07-23 03:34:03 | S    |     83 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:34:05 | S    |     83 |     1 |    11 | ArgusMS | inhabitant
 2004-07-23 03:34:16 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:17 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:17 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:22 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:25 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:30 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
 2004-07-23 03:34:30 | S    |     83 |     1 |    15 | ArgusMS | inhabitant
 2004-07-23 03:34:35 | S    |     83 |     1 |    10 | ArgusMS | inhabitant
